form	records	partija-id	tipas
Visuomeninis rinkimų komitetas „Patriotų sąjūdis už Elektrėnų kraštą“	24	komitetas-patriotu-sajudis-uz-elektrenu-krasta	komitetas
Visuomeninis rinkimų komitetas „Už vieningus zanavykus“	24	komitetas-uz-vieningus-zanavykus	komitetas
išsikėlė pats	24	issikele-pats	issikelimas
Nepartinių judėjimas "Rinkimai 96"	23	rinkimai-96	partija
Politinis komitetas „Bendrai geriau“	23	komitetas-bendrai-geriau	komitetas
Politinis komitetas „Jaunoji Kazlų Rūda“	23	komitetas-jaunoji-kazlu-ruda	komitetas
Politinis komitetas „Kartu mes galime“	23	komitetas-kartu-mes-galime	komitetas
Visuomeninis rinkimų komitetas “Nepartinių palangiškių sąjūdis”	23	komitetas-nepartiniu-palangiskiu-sajudis	komitetas
Visuomeninis rinkimų komitetas „Alytaus sąjūdis“	23	komitetas-alytaus-sajudis	komitetas
Visuomeninis rinkimų komitetas „Pirmyn, Palanga ir Šventoji!“	23	komitetas-pirmyn-palanga-ir-sventoji	komitetas
Koalicija "Rasai"	22	koalicija-rasai	koalicija
Lietuvos krikščionių demokratų partijos ir Lietuvos politinių kalinių ir tremtinių sąj. koalicija	22	koalicija-lietuvos-krikscioniu-demokratu-partijos-ir-lietuvos-politiniu-kaliniu-ir-tremtiniu-saj-koalicija	koalicija
Taikos koalicija (Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)	22	koalicija-taikos-koalicija-lietuvos-krikscioniskosios-demokratijos-partija-zemaiciu-partija	koalicija
Visuomeninis rinkimų komitetas „Komanda – už Kėdainių krašto žmones“	22	komitetas-komanda-uz-kedainiu-krasto-zmones	komitetas
Visuomeninis rinkimų komitetas „Mūsų Telšiai“	22	komitetas-musu-telsiai	komitetas
„Valdemaro Tomaševskio blokas“ – Krikščioniškų šeimų sąjungos ir Rusų aljanso koalicija	22	koalicija-lenku-rinkimu-akcijos-ir-rusu-aljanso-koalicija-valdemaro-tomasevskio-blokas	koalicija
Liberalų sąjungos ir Centro sąjungos koalicija	21	koalicija-lietuvos-centro-sajungos-ir-lietuvos-liberalu-sajungos-koalicija	koalicija
Lietuvos lenkų rinkimų akcijos ir Lietuvos rusų sąjungos koalicija „Kartu mes jėga!“	21	koalicija-lietuvos-lenku-rinkimu-akcijos-ir-lietuvos-rusu-sajungos-koalicija-kartu-mes-jega	koalicija
Molėtai kartu	21	moletai-kartu	partija
Politinis komitetas Ištikimi Klaipėdai	21	komitetas-istikimi-klaipedai	komitetas
Visuomeninis rinkimų komitetas „Mažeikių kraštas“	21	komitetas-mazeikiu-krastas	komitetas
Visuomeninis rinkimų komitetas „Vytautas Radžvilas: susigrąžinkime valstybę!“	21	komitetas-vytautas-radzvilas-susigrazinkime-valstybe	komitetas
Centro dešiniųjų koalicija	20	koalicija-centro-desiniuju-koalicija	koalicija
Vilhelmo Džiugelio jungtinė lyderių koalicija "Mums rūpi Mažeikių kraštas"	20	koalicija-vilhelmo-dziugelio-jungtine-lyderiu-koalicija-mums-rupi-mazeikiu-krastas	koalicija
Visuomeninis rinkimų komitetas „Jurbarko kraštui“	20	komitetas-jurbarko-krastui	komitetas
Visuomeninis rinkimų komitetas „Tavo Raseiniai“	20	komitetas-tavo-raseiniai	komitetas
Visuomeninis rinkimų komitetas „Už geresnį gyvenimą visiems“	20	komitetas-uz-geresni-gyvenima-visiems	komitetas
Visuomeninis rinkimų komitetas „Vieningi su Ramūnu Godeliausku“	20	komitetas-vieningi-su-ramunu-godeliausku	komitetas
Centro ir tautininkų sąjungų koalicija "Vidurio kelias"	19	koalicija-centro-ir-tautininku-sajungu-koalicija-vidurio-kelias	koalicija
Koalicija "Kitaip"	19	koalicija-kitaip	koalicija
Koalicija "Vieningas Kaunas"	19	koalicija-vieningas-kaunas	koalicija
Politinis komitetas „Tau, kraštieti!“	19	komitetas-tau-krastieti	komitetas
Politinis komitetas „Vieningi zanavykai“	19	komitetas-uz-vieningus-zanavykus	komitetas
Politinė partija Rusų Aljansas	19	rusu-aljansas	partija
Visuomeninis rinkimų komitetas „I. Sedleckaitės pilietinis sąrašas korupcijai ne“	19	komitetas-i-sedleckaites-pilietinis-sarasas-korupcijai-ne	komitetas
Visuomeninis rinkimų komitetas „Už vieningą Kelmę“	19	komitetas-uz-vieninga-kelme	komitetas
Visuomeninis rinkimų komitetas „Z. Grikšelio komanda, remiama N. Puteikio“	19	komitetas-z-grikselio-komanda-remiama-n-puteikio	komitetas
Gintaro Šileikio visuomeninis rinkimų komitetas	18	komitetas-gintaro-sileikio	komitetas
Politinis komitetas „Už šviesią Kretingą“	18	komitetas-uz-sviesia-kretinga	komitetas
Smulkaus ir vidutinio verslo partija	18	smulkaus-ir-vidutinio-verslo-partija	partija
Visuomeninis rinkimų komitetas „A. Liogės sąrašas, remiamas N. Puteikio“	18	komitetas-a-lioges-sarasas-remiamas-n-puteikio	komitetas
Visuomeninis rinkimų komitetas „Druskininkai“	18	komitetas-druskininkai	komitetas
Visuomeninis rinkimų komitetas „Jaunoji karta“	18	komitetas-jaunoji-karta	komitetas
Visuomeninis rinkimų komitetas „Mindaugo Gervaldo susivienijimas „Prieš korupciją“	18	komitetas-mindaugo-gervaldo-susivienijimas-pries-korupcija	komitetas
Visuomeninis rinkimų komitetas „Vilkaviškis 2015“	18	komitetas-vilkaviskis-2015	komitetas
Visuomeninis rinkimų komitetas „Šilutės kraštas“	18	komitetas-silutes-krastas	komitetas
Nepriklausomybės partija	17	nepriklausomybes-partija	partija
Visuomeninis rinkimų komitetas „Laisvieji piliečiai“	17	komitetas-laisvieji-pilieciai	komitetas
Visuomeninis rinkimų komitetas „Permainų laikas“	17	komitetas-permainu-laikas	komitetas
Visuomeninis rinkimų komitetas „Rusakalbė Klaipėda“	17	komitetas-rusakalbe-klaipeda	komitetas
Visuomeninis rinkimų komitetas „Titov ir teisingumas“	17	komitetas-titov-ir-teisingumas	komitetas
Visuomeninis rinkimų komitetas „Už Jaunąją Sūduvą“	17	komitetas-jaunoji-kazlu-ruda	komitetas
Visuomeninis rinkimų komitetas „Už savo kraštą“	17	komitetas-uz-savo-krasta	komitetas
Algirdo Mačiulaičio visuomeninis rinkimų komitetas	16	komitetas-algirdo-maciulaicio	komitetas
Nepartinė "Jaunosios Sūduvos" koalicija	16	koalicija-nepartine-jaunosios-suduvos-koalicija	koalicija
Politinis komitetas „Nepartinė savivalda“	16	komitetas-nepartine-savivalda	komitetas
Politinis komitetas „Panevėžio labui“	16	komitetas-panevezio-labui	komitetas
Visuomeninis rinkimų komitetas „Kartu – Pagėgių kraštui“	16	komitetas-kartu-pagegiu-krastui	komitetas
Visuomeninis rinkimų komitetas „Kupiškio kraštą keiskime kartu“	16	komitetas-kupiskio-krasta-keiskime-kartu	komitetas
Visuomeninis rinkimų komitetas „Laimutės Šlamienės ir Algirdo Fergelio komitetas Radviliškyje „Už meilę žmogui“	16	komitetas-laimutes-slamienes-ir-algirdo-fergelio-komitetas-radviliskyje-uz-meile-zmogui	komitetas
Visuomeninis rinkimų komitetas „Mums svarbu“	16	komitetas-mums-svarbu	komitetas
Visuomeninis rinkimų komitetas „N. Puteikio komanda“	16	komitetas-n-puteikio-komanda	komitetas
Visuomeninis rinkimų komitetas „Pilietinė iniciatyva“	16	komitetas-pilietine-iniciatyva	komitetas
Lietuvos Demokratų Partijos ir Lietuvių Tautininkų Sąjungos koalicija	15	koalicija-lietuviu-tautininku-ir-lietuvos-demokratu-partijos-koalicija	koalicija
Lietuvos reformų partija	15	lietuvos-reformu-partija	partija
Politinis komitetas „Siekime kartu“	15	komitetas-siekime-kartu	komitetas
Tautos vienybės sąjunga	15	pilietines-demokratijos-partija	partija
Visuomeninis rinkimų komitetas „Biržai – mūsų kraštas“	15	komitetas-birzai-musu-krastas	komitetas
Visuomeninis rinkimų komitetas „Kretingiškiai – už bočius, tėvus ir vaikus“	15	komitetas-kretingiskiai-uz-bocius-tevus-ir-vaikus	komitetas
Visuomeninis rinkimų komitetas „Mes esame Kitokie“	15	komitetas-mes-esame-kitokie	komitetas
Visuomeninis rinkimų komitetas „Plungės kraštas“	15	komitetas-plunges-krastas	komitetas
Visuomeninis rinkimų komitetas „Stipri Lietuva vieningoje Europoje“	15	komitetas-stipri-lietuva-vieningoje-europoje	komitetas
Visuomeninis rinkimų komitetas „Už geresnę ateitį Marijampolėje“	15	komitetas-uz-geresne-ateiti-marijampoleje	komitetas
Visuomeninis rinkimų komitetas „Už pokyčius Klaipėdoje“	15	komitetas-uz-pokycius-klaipedoje	komitetas
Visuomeninis rinkimų komitetas „Vardan žmogaus“	15	komitetas-vardan-zmogaus	komitetas
Raseinių žemaitis	14	raseiniu-zemaitis	partija
Visuomeninis rinkimų komitetas „Druskininkų dešinieji“	14	komitetas-druskininku-desinieji	komitetas
Visuomeninis rinkimų komitetas „Druskininkų „Naujasis“	14	komitetas-druskininku-naujasis	komitetas
Visuomeninis rinkimų komitetas „Už Visaginą“	14	komitetas-uz-visagina	komitetas
Visuomeninis rinkimų komitetas „Už ateitį ir teisingumą, remiami Puteikio“	14	komitetas-uz-ateiti-ir-teisinguma-remiami-puteikio	komitetas
Visuomeninis rinkimų komitetas „Už klestintį Trakų kraštą“	14	komitetas-uz-klestinti-traku-krasta	komitetas
„Vilkmergės“ visuomeninis rinkimų komitetas	14	komitetas-vilkmerges	komitetas
Visuomeninis rinkimų komitetas „Jums“	13	komitetas-jums	komitetas
Visuomeninis rinkimų komitetas „Kurk Zarasams“	13	komitetas-kurk-zarasams	komitetas
Visuomeninis rinkimų komitetas „Nepartinė savivalda“	13	komitetas-nepartine-savivalda	komitetas
Visuomeninis rinkimų komitetas „Trakų krašto reikalas“	13	komitetas-traku-krasto-reikalas	komitetas
Visuomeninis rinkimų komitetas „Vieninga Neringa“	13	komitetas-vieninga-neringa	komitetas
Šilališkių koalicija	13	koalicija-silaliskiu-koalicija	koalicija
Lietuvos socialinio teisingumo sąjunga	12	lietuvos-socialinio-teisingumo-sajunga	partija
Violetos Grigienės visuomeninis rinkimų komitetas „Drauge“	12	komitetas-violetos-grigienes-visuomeninis-rinkimu-komitetas-drauge	komitetas
Visuomeninis rinkimų komitetas „Kartu kurkime Kupiškio kraštą“	12	komitetas-kupiskio-krasta-keiskime-kartu	komitetas
Visuomeninis rinkimų komitetas „Lemiamas šuolis“	12	komitetas-lemiamas-suolis	komitetas
Visuomeninis rinkimų komitetas „Už Kupiškio kraštą“	12	komitetas-uz-kupiskio-krasta	komitetas
"FRONTO" PARTIJA	11	fronto-partija	partija
Nepartinių ir nepriklausomų koalicija	11	koalicija-nepartiniu-ir-nepriklausomu-koalicija	koalicija
Nepriklausomų kandidatų koalicija	11	koalicija-nepriklausomu-kandidatu-koalicija	koalicija
Tautinė partija LIETUVOS KELIAS	11	lietuvos-kelias	partija
Ūkio ir valstiečių partijų koalicija	11	koalicija-lietuvos-valstieciu-ir-lietuvos-ukio-partiju-koalicija	koalicija
Visuomeninis rinkimų komitetas „Palangiškiai“	10	komitetas-palangiskiai	komitetas
Visuomeninis rinkimų komitetas „Prezidento Rolando Pakso judėjimas“	10	komitetas-prezidento-rolando-pakso-judejimas	komitetas
Visuomeninis rinkimų komitetas „Vieningas Birštonas“	10	komitetas-vieningas-birstonas	komitetas
Bendruomenių lyderių koalicija	9	koalicija-bendruomeniu-lyderiu-koalicija	koalicija
Lietuvos lenkų rinkimų akcija, Politinė partija Rusų aljansas	9	llra-ir-rusu-aljansas	koalicija
Nepartinių kandidatų koalicija	9	koalicija-nepartiniu-kandidatu-koalicija	koalicija
Nepartinė pilietinė koalicija	9	koalicija-nepartine-pilietine-koalicija	koalicija
Visuomeninis rinkimų komitetas „Aušros Maldeikienės traukinys“	9	komitetas-ausros-maldeikienes-traukinys	komitetas
Koalicija "Už Anykščių kraštą"	8	koalicija-uz-anyksciu-krasta	koalicija
Nepriklausomų anykštėnų koalicija	7	koalicija-nepriklausomu-anykstenu-koalicija	koalicija
Stasio Žirgulio nepriklausomų kandidatų koalicija	7	koalicija-stasio-zirgulio-nepriklausomu-kandidatu-koalicija	koalicija
Nepartinė koalicija "Elektrėnų kraštas"	6	koalicija-nepartine-koalicija-elektrenu-krastas	koalicija
Koalicija "Mes - nepartiniai grįžę emigrantai"	5	koalicija-mes-nepartiniai-grize-emigrantai	koalicija
Koalicija "Už pokyčius"	5	koalicija-uz-pokycius	koalicija
Koalicija "Vieninga Plungė"	5	koalicija-vieninga-plunge	koalicija
Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga, Politinė partija Rusų aljansas	5	llra-ir-rusu-aljansas	koalicija
Nepartinių kandidatų koalicija "Už Birštono jaunimą"	5	koalicija-nepartiniu-kandidatu-koalicija-uz-birstono-jaunima	koalicija
Politinė partija „Lietuvos žaliųjų sąjūdis“	5	lietuvos-zaliuju-partija	partija
Veiklių moterų koalicija	4	koalicija-veikliu-moteru-koalicija	koalicija
Lietuvos centro partija, išsikėlė pats	3	lietuvos-centro-partija	partija
Nepriklausomų Pasvalio krašto kandidatų koalicija "Už teigiamas permainas"	3	koalicija-nepriklausomu-pasvalio-krasto-kandidatu-koalicija-uz-teigiamas-permainas	koalicija
Partija Tvarka ir teisingumas, išsikėlė pats	3	tvarka-ir-teisingumas	partija
Politinė partija "Nemuno Aušra"	3	nemuno-ausra	partija
išsikėlė pati	3	issikele-pats	issikelimas
Jonų koalicija	2	koalicija-jonu-koalicija	koalicija
Lietuvos centro partija, išsikėlė pati	2	lietuvos-centro-partija	partija
Naujosios demokratijos partija	2	naujosios-demokratijos-partija	partija
Počobuto ir Vinčo koalicija	2	koalicija-pocobuto-ir-vinco-koalicija	koalicija
Žagarės krašto atgimimo koalicija	2	koalicija-zagares-krasto-atgimimo-koalicija	koalicija
Darbo partija, Lietuvos žaliųjų partija	1	dp-ir-lzp	koalicija
Darbo partija, Visuomeninis rinkimų komitetas „Permainų laikas“	1	dp-ir-komitetas-permainu-laikas	koalicija
Demokratų sąjunga "Vardan Lietuvos"	1	vardan-lietuvos	partija
Demokratų sąjunga „Vardan Lietuvos"	1	vardan-lietuvos	partija
Laisvės partija, Tėvynės sąjunga-Lietuvos krikščionys demokratai, Liberalų sąjūdis	1	lp-ts-lkd-ir-ls	koalicija
Lietuvos Respublikos liberalų sąjūdis, Tėvynės sąjunga-Lietuvos krikščionys demokratai	1	lrls-ir-ts-lkd	koalicija
Lietuvos laisvės sąjunga (liberalai), išsikėlė pats	1	lietuvos-laisves-sajunga-liberalai	partija
Lietuvos valstiečių ir žaliųjų sąjunga, išsikėlė pats	1	lvzs	partija
Lietuvos valstiečių ir žaliųjų sąjunga; Lietuvos centro partija	1	lvzs-ir-lcp	koalicija
Partija "Laisvė ir teisingumas"	1	laisve-ir-teisingumas	partija
Pensininkų partija	1	lietuvos-pensininku-partija	partija
Politinė partija Rusų aljansas, Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga	1	llra-ir-rusu-aljansas	koalicija
Politinė partija „Lietuvos sąrašas“, išsikėlė pats	1	lietuvos-sarasas	partija
Tėvynės sąjunga - Lietuvos krikščionys demokratai, išsikėlė pats	1	ts-lkd	partija
Tėvynės sąjunga – Lietuvos krikščionys demokratai; Išsikėlė pati	1	ts-lkd	partija
Tėvynės sąjunga – Lietuvos krikščionys demokratai; Išsikėlė pats	1	ts-lkd	partija
Visuomeninis rinkimų komitetas „Už augančią Kelmę!“	1	komitetas-uz-augancia-kelme	komitetas
