form	records	partija-id	tipas
Politinė partija „Nemuno Aušra“	110	nemuno-ausra	partija
Lietuvos krikščioniškosios demokratijos partija	102	lietuvos-krikscioniskosios-demokratijos-partija	partija
A. Zuoko ir vilniečių koalicija „Laimingas Vilnius“	100	koalicija-a-zuoko-ir-vilnieciu-koalicija-laimingas-vilnius	koalicija
Lietuvos lenkų liaudies partija	100	lietuvos-lenku-liaudies-partija	partija
Visuomeninis rinkimų komitetas „Už Alytų“	100	komitetas-uz-alytu	komitetas
Demokratinė darbo ir vienybės partija	95	demokratine-darbo-ir-vienybes-partija	partija
Centro partija - tautininkai	94	lietuvos-centro-partija	partija
Centro dešinės koalicija	92	koalicija-centro-desines-koalicija	koalicija
"Fronto" partija	88	fronto-partija	partija
Tautinė partija Lietuvos kelias	85	lietuvos-kelias	partija
Visuomeninis rinkimų komitetas „Vieningas Kaunas“	85	komitetas-vieningas-kaunas	komitetas
Lietuvos dešiniųjų sąjunga	81	lietuvos-desiniuju-sajunga	partija
„STIPRI ŠEIMA – STIPRUS KAUNAS“ Krikščionių sąjungos ir Tautos ir teisingumo sąjungos (centristų, tautininkų) koalicija	80	koalicija-stipri-seima-stiprus-kaunas-krikscioniu-sajungos-ir-tautos-ir-teisingumo-sajungos-centristu-tautininku-koalicija	koalicija
Lietuvių nacionalinės partijos ir "Jaunosios Lietuvos" sąjunga	79	jaunoji-lietuva	partija
Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)	79	koalicija-taikos-koalicija-darbo-partija-lietuvos-krikscioniskosios-demokratijos-partija-zemaiciu-partija	koalicija
A.Zuoko koalicija "Už Vilnių, kuriame gera visiems" Liberalai ir modernieji krikščionys demokratai	77	koalicija-a-zuoko-koalicija-uz-vilniu-kuriame-gera-visiems-liberalai-ir-modernieji-krikscionys-demokratai	koalicija
Visuomeninis rinkimų komitetas „Švari savivalda“	77	komitetas-svari-savivalda	komitetas
Lietuvos piliečių aljansas	74	lietuvos-pilieciu-aljansas	partija
A.Brazausko ir A.Paulausko koalicija "Už darbą Lietuvai"	73	koalicija-a-brazausko-ir-a-paulausko-koalicija-uz-darba-lietuvai	koalicija
Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)	72	koalicija-nacionalinis-susivienijimas-uz-lietuva-lietuvoje-lietuvos-centro-partijos-lietuvos-socialdemokratu-sajungos-tautininku-sajungos-ir-tautos-vienybes-sajungos-koalicija	koalicija
Koalicija "Už Neringos ateitį"	67	koalicija-uz-neringos-ateiti	koalicija
Visuomeninis rinkimų komitetas „Visaginas – tai mes“	67	komitetas-visaginas-tai-mes	komitetas
Rolando Pakso koalicija "Už tvarką ir teisingumą"	66	koalicija-rolando-pakso-koalicija-uz-tvarka-ir-teisinguma	koalicija
Visuomeninis rinkimų komitetas „Nepartinė Tauragė“	66	komitetas-nepartine-taurage	komitetas
Visuomeninis rinkimų komitetas „R. Šimašiaus komanda „Už Vilnių, kuriuo didžiuojamės!“	66	komitetas-r-simasiaus-komanda-uz-vilniu-kuriuo-didziuojames	komitetas
Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga	63	llra-kss	partija
Visuomeninis rinkimų komitetas „Artūro Visocko sąrašas „Dirbame miestui“	62	komitetas-arturo-visocko-sarasas-dirbame-miestui	komitetas
Koalicija Darbo partija + jaunimas	61	koalicija-darbo-partija-jaunimas	koalicija
Politinis komitetas Nepartinis sąrašas „Dirbame miestui“	61	komitetas-arturo-visocko-sarasas-dirbame-miestui	komitetas
Centro dešinės koalicija (Tėvynės sąjunga-Lietuvos krikščionys demokratai, Liberalų sąjūdis, Laisvės partija)	59	koalicija-centro-desines-koalicija	koalicija
Lietuvos žmonių partija	59	lietuvos-zmoniu-partija	partija
Politinė partija "Profesinių sąjungų centras"	59	profesiniu-sajungu-centras	partija
Visuomeninis rinkimų komitetas „Artūro Visocko nepartinis sąrašas“	58	komitetas-arturo-visocko-sarasas-dirbame-miestui	komitetas
Visuomeninis rinkimų komitetas „Vieninga Plungė“	58	komitetas-vieninga-plunge	komitetas
Tėvynės sąjungos (Lietuvos konservatorių) ir Lietuvos politinių kalinių ir tremtinių sąjungos koalicija "Šilutės kraštas"	55	koalicija-tevynes-sajungos-lietuvos-konservatoriu-ir-lietuvos-politiniu-kaliniu-ir-tremtiniu-sajungos-koalicija-silutes-krastas	koalicija
S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	54	koalicija-s-buskeviciaus-ir-tautininku-koalicija-pries-korupcija-ir-skurda-partija-jaunoji-lietuva-tautininku-sajunga	koalicija
Visuomeninis rinkimų komitetas „Kuriam kartu“	54	komitetas-kuriam-kartu	komitetas
"Jaunosios Lietuvos", naujųjų tautininkų ir politinių kalinių sąjunga	52	jaunoji-lietuva	partija
Lietuvių tautininkų ir Lietuvos demokratų partijos koalicija	52	koalicija-lietuviu-tautininku-ir-lietuvos-demokratu-partijos-koalicija	koalicija
Artūro Zuoko ir Vilniaus koalicija	51	koalicija-arturo-zuoko-ir-vilniaus-koalicija	koalicija
Pašaukti tarnauti Jums (Lietuvos valstiečių liaudininkų sąjungos ir Lietuvos centro partijos koalicija)	51	koalicija-pasaukti-tarnauti-jums-lietuvos-valstieciu-liaudininku-sajungos-ir-lietuvos-centro-partijos-koalicija	koalicija
Biržų atgimimas	50	birzu-atgimimas	partija
Lietuvos valstiečių liaudininkų ir krikščionių demokratų koalicija	50	koalicija-lietuvos-valstieciu-liaudininku-ir-krikscioniu-demokratu-koalicija	koalicija
Nepartinių kandidatų koalicija "Vilnius - mūsų reikalas"	50	koalicija-nepartiniu-kandidatu-koalicija-vilnius-musu-reikalas	koalicija
Politinis komitetas „Drauge su Jumis“	50	komitetas-drauge-su-jumis	komitetas
Politinis komitetas „Kartu už Utenos kraštą“	50	komitetas-kartu-uz-utenos-krasta	komitetas
Politinis komitetas „Už Druskininkus“	50	komitetas-uz-druskininkus	komitetas
Politinis komitetas „Vardan Šilalės krašto“	50	komitetas-vardan-silales-krasto	komitetas
Visuomeninis rinkimų komitetas „A. Margelio komanda „Pirmyn!“	50	komitetas-a-margelio-komanda-pirmyn	komitetas
Visuomeninis rinkimų komitetas „Algio Kašėtos sąrašas „Drauge su Jumis“	50	komitetas-drauge-su-jumis	komitetas
Visuomeninis rinkimų komitetas „Centro judėjimas už Šilalės kraštą“	50	komitetas-centro-judejimas-uz-silales-krasta	komitetas
