form	records	municipality_id	elections
Kauno miesto	1778	kauno-miesto	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Kauno miesto savivaldybė	1758	kauno-miesto	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Kauno rajono	914	kauno-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Kauno rajono savivaldybė	817	kauno-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Kazlų Rūdos	486	kazlu-rudos	2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Kazlų Rūdos savivaldybė	474	kazlu-rudos	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Kelmės rajono	922	kelmes-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Kelmės rajono (18)	8	kelmes-rajono	2021-spalio-10-meru
Kelmės rajono savivaldybė	635	kelmes-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Klaipėdos miesto	1387	klaipedos-miesto	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Klaipėdos miesto savivaldybė	1141	klaipedos-miesto	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Klaipėdos rajono	1076	klaipedos-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Klaipėdos rajono savivaldybė	855	klaipedos-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Kretingos rajono	798	kretingos-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Kretingos rajono savivaldybė	654	kretingos-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Kupiškio rajono	694	kupiskio-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Kupiškio rajono (23)	5	kupiskio-rajono	2023-spalio-8-kupiskio-mero
Kupiškio rajono savivaldybė	631	kupiskio-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Kėdainių rajono	794	kedainiu-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Kėdainių rajono savivaldybė	518	kedainiu-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Lazdijų rajono	817	lazdiju-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Lazdijų rajono savivaldybė	641	lazdiju-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Marijampolės	940	marijampoles	2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Marijampolės (25)	8	marijampoles	2017-rugsejo-10-marijampoles-mero
Marijampolės miesto	126	marijampoles-miesto	1997-kovo-23-savivaldybiu-tarybu
Marijampolės rajono	121	marijampoles-rajono	1997-kovo-23-savivaldybiu-tarybu
Marijampolės savivaldybė	878	marijampoles	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Mažeikių rajono	986	mazeikiu-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Mažeikių rajono savivaldybė	890	mazeikiu-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Molėtų rajono	721	moletu-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Molėtų rajono savivaldybė	542	moletu-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Neringos	240	neringos	2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Neringos miesto	163	neringos	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu
Neringos savivaldybė	359	neringos	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Pagėgių	676	pagegiu	2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Pagėgių savivaldybė	504	pagegiu	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Pakruojo rajono	854	pakruojo-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Pakruojo rajono savivaldybė	608	pakruojo-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Palangos miesto	712	palangos-miesto	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Palangos miesto savivaldybė	379	palangos-miesto	2007-vasario-25-savivaldybiu,2015-kovo-1-savivaldybiu
Palangos savivaldybė	265	palangos-miesto	2011-vasario-27-savivaldybiu
Panevėžio miesto	981	panevezio-miesto	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Panevėžio miesto (32)	6	panevezio-miesto	2025-kovo-16-meru
Panevėžio miesto savivaldybė	830	panevezio-miesto	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Panevėžio rajono	677	panevezio-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Panevėžio rajono savivaldybė	571	panevezio-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Pasvalio rajono	761	pasvalio-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Pasvalio rajono savivaldybė	576	pasvalio-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Plungės rajono	817	plunges-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Plungės rajono savivaldybė	710	plunges-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Prienų rajono	975	prienu-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Prienų rajono savivaldybė	942	prienu-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Radviliškio rajono	917	radviliskio-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Radviliškio rajono (37)	7	radviliskio-rajono	2021-balandzio-11-radviliskio-mero
Radviliškio rajono savivaldybė	745	radviliskio-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Raseinių rajono	1097	raseiniu-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Raseinių rajono savivaldybė	864	raseiniu-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Rietavo	406	rietavo	2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Rietavo savivaldybė	375	rietavo	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
Rokiškio rajono	859	rokiskio-rajono	1997-kovo-23-savivaldybiu-tarybu,2000-kovo-19-savivaldybiu-tarybu,2002-gruodzio-22-savivaldybiu-tarybu,2019-kovo-3-savivaldybiu-tarybu,2023-kovo-5-savivaldybiu-tarybu-ir-meru
Rokiškio rajono savivaldybė	726	rokiskio-rajono	2007-vasario-25-savivaldybiu,2011-vasario-27-savivaldybiu,2015-kovo-1-savivaldybiu
